method,data_fraction,seed,emotion,f1,precision,recall
svm_tfidf,0.01,7,admiration,0.2648401826484018,0.5686274509803921,0.17261904761904762
svm_tfidf,0.01,7,amusement,0.5353535353535354,0.803030303030303,0.4015151515151515
svm_tfidf,0.01,7,anger,0.17573221757322174,0.5121951219512195,0.10606060606060606
svm_tfidf,0.01,7,annoyance,0.03361344537815126,0.16216216216216217,0.01875
svm_tfidf,0.01,7,approval,0.09026128266033254,0.2714285714285714,0.05413105413105413
svm_tfidf,0.01,7,caring,0.013333333333333334,0.06666666666666667,0.007407407407407408
svm_tfidf,0.01,7,confusion,0.05,0.06896551724137931,0.0392156862745098
svm_tfidf,0.01,7,curiosity,0.047244094488188976,0.09278350515463918,0.03169014084507042
svm_tfidf,0.01,7,desire,0.20833333333333334,0.7692307692307693,0.12048192771084337
svm_tfidf,0.01,7,disappointment,0.0,0.0,0.0
svm_tfidf,0.01,7,disapproval,0.007194244604316547,0.09090909090909091,0.003745318352059925
svm_tfidf,0.01,7,disgust,0.0,0.0,0.0
svm_tfidf,0.01,7,embarrassment,0.0,0.0,0.0
svm_tfidf,0.01,7,excitement,0.05,0.17647058823529413,0.02912621359223301
svm_tfidf,0.01,7,fear,0.04819277108433735,0.4,0.02564102564102564
svm_tfidf,0.01,7,gratitude,0.8118811881188119,0.968503937007874,0.6988636363636364
svm_tfidf,0.01,7,grief,0.0,0.0,0.0
svm_tfidf,0.01,7,joy,0.1016949152542373,0.5625,0.055900621118012424
svm_tfidf,0.01,7,love,0.6713947990543735,0.7675675675675676,0.5966386554621849
svm_tfidf,0.01,7,nervousness,0.0,0.0,0.0
svm_tfidf,0.01,7,neutral,0.306966618287373,0.43653250773993807,0.23670956911024063
svm_tfidf,0.01,7,optimism,0.28688524590163933,0.603448275862069,0.1881720430107527
svm_tfidf,0.01,7,pride,0.0,0.0,0.0
svm_tfidf,0.01,7,realization,0.0,0.0,0.0
svm_tfidf,0.01,7,relief,0.0,0.0,0.0
svm_tfidf,0.01,7,remorse,0.4782608695652174,0.6111111111111112,0.39285714285714285
svm_tfidf,0.01,7,sadness,0.16744186046511628,0.3050847457627119,0.11538461538461539
svm_tfidf,0.01,7,surprise,0.04524886877828054,0.0625,0.03546099290780142
svm_tfidf,0.05,7,admiration,0.5183630640083945,0.5501113585746102,0.49007936507936506
svm_tfidf,0.05,7,amusement,0.7362204724409449,0.7663934426229508,0.7083333333333334
svm_tfidf,0.05,7,anger,0.22382671480144403,0.3924050632911392,0.15656565656565657
svm_tfidf,0.05,7,annoyance,0.1759656652360515,0.2808219178082192,0.128125
svm_tfidf,0.05,7,approval,0.1936619718309859,0.2534562211981567,0.15669515669515668
svm_tfidf,0.05,7,caring,0.11398963730569948,0.1896551724137931,0.08148148148148149
svm_tfidf,0.05,7,confusion,0.09266409266409266,0.11320754716981132,0.0784313725490196
svm_tfidf,0.05,7,curiosity,0.08845208845208845,0.14634146341463414,0.06338028169014084
svm_tfidf,0.05,7,desire,0.3247863247863248,0.5588235294117647,0.2289156626506024
svm_tfidf,0.05,7,disappointment,0.023121387283236993,0.09090909090909091,0.013245033112582781
svm_tfidf,0.05,7,disapproval,0.10840108401084012,0.19607843137254902,0.0749063670411985
svm_tfidf,0.05,7,disgust,0.3125,0.6756756756756757,0.2032520325203252
svm_tfidf,0.05,7,embarrassment,0.0,0.0,0.0
svm_tfidf,0.05,7,excitement,0.21518987341772153,0.3090909090909091,0.1650485436893204
svm_tfidf,0.05,7,fear,0.41904761904761906,0.8148148148148148,0.28205128205128205
svm_tfidf,0.05,7,gratitude,0.8854748603351955,0.8708791208791209,0.9005681818181818
svm_tfidf,0.05,7,grief,0.0,0.0,0.0
svm_tfidf,0.05,7,joy,0.4460431654676259,0.5299145299145299,0.38509316770186336
svm_tfidf,0.05,7,love,0.7107438016528925,0.6991869918699187,0.7226890756302521
svm_tfidf,0.05,7,nervousness,0.0,0.0,0.0
svm_tfidf,0.05,7,neutral,0.4537867078825348,0.5069060773480663,0.4107442641298265
svm_tfidf,0.05,7,optimism,0.4752475247524752,0.6153846153846154,0.3870967741935484
svm_tfidf,0.05,7,pride,0.0,0.0,0.0
svm_tfidf,0.05,7,realization,0.03225806451612903,0.07317073170731707,0.020689655172413793
svm_tfidf,0.05,7,relief,0.0,0.0,0.0
svm_tfidf,0.05,7,remorse,0.584070796460177,0.5789473684210527,0.5892857142857143
svm_tfidf,0.05,7,sadness,0.3377777777777778,0.5507246376811594,0.24358974358974358
svm_tfidf,0.05,7,surprise,0.18095238095238095,0.2753623188405797,0.1347517730496454
svm_tfidf,0.1,7,admiration,0.512241054613936,0.4874551971326165,0.5396825396825397
svm_tfidf,0.1,7,amusement,0.7117988394584139,0.7272727272727273,0.696969696969697
svm_tfidf,0.1,7,anger,0.30939226519337015,0.34146341463414637,0.2828282828282828
svm_tfidf,0.1,7,annoyance,0.17162872154115585,0.1952191235059761,0.153125
svm_tfidf,0.1,7,approval,0.2010443864229765,0.1855421686746988,0.21937321937321938
svm_tfidf,0.1,7,caring,0.15789473684210525,0.16030534351145037,0.15555555555555556
svm_tfidf,0.1,7,confusion,0.15335463258785942,0.15,0.1568627450980392
svm_tfidf,0.1,7,curiosity,0.09815950920245399,0.11707317073170732,0.08450704225352113
